user_id,watch_date,day_of_week,start_time,end_time,device_type,content_type,episodes_watched,sleep_hours,binge_flag
028d89e2-62bb-4f89-8707-6ade4000423f,2025-05-29,monday,19:59,23:59,TV,Series,3,4.2,0
1b3f1486-3715-42e3-af46-838da4a8dab2,2025-02-21,monday,22:41,23:41,,Movie,5,4.2,1
6a7514c9-44dc-4a81-b0f0-a866ac346602,2025-03-18,Monday,07:27 PM,23:27,Tablet,Movie,3,6.8,0
502ad54a-083d-4c98-a875-7596708d53b6,2025-02-23,wednesday,08:19 PM,23:19,lptop,Series,5,6.4,1
7c7970b3-360f-4717-a81c-54f5f53b1d11,2025-03-11,Friday,04:51 AM,05:51 AM,,Movie,5,4.3,1
2505c2be-f49e-42b2-b363-ee943da88f2b,2025-06-01,wednesday,18:07,09:07 PM,lptop,Movie,3,5.5,0
4a07bc89-4a03-4efb-8e78-acceceadd1cc,2025-04-13,Monday,18:36,21:36,TV,Movie,3,5.5,0
04773c93-b87a-4924-8e96-3d7997b4933b,2025-02-27,Tuesday,04:07 AM,08:07 AM,Tablet,Movie,4,7.8,1
e214a348-85f0-45bc-8a7e-f045e6c9f308,2025-03-27,Wednesday,3:16,04:16,TV,Documentary,3,5.5,0
74e52877-ed66-4845-bc82-73c8308723c7,2025-05-16,monday,09:05 PM,22:05,,Documentary,3,6.8,0
e16ac6fc-7e58-4872-a5a6-8affed2590a8,2025-02-25,Wednesday,11:57 PM,01:57,Mobile,Documentary,5,5.0,1
26fd7efd-6063-4043-b448-3e6d0cfed234,2025-04-28,Thursday,22:38,02:38 AM,lptop,Movie,3,7.1,0
5b6fa173-3a6c-4fdc-8eca-81342db1191c,2025-06-22,tuesday,07:40 PM,20:40,Laptop,Documentary,6,5.7,1
9bd22759-b6af-414b-87e4-c61caed0d3ac,2025-05-06,Tuesday,18:17,08:17 PM,TV,Movie,3,7.0,0
9dab1b2f-8fff-478e-8e8d-5d01b8cc9288,2025-07-07,Wednesday,09:44 PM,22:44,TV,Documentary,4,7.1,1
9a9fa360-65a8-4074-bca7-795456541c20,2025-04-10,Saturday,01:19 AM,02:19,TV,Documentary,5,5.8,1
981a2005-ea2c-4a55-a533-af03a9119db3,2025-04-08,wednesday,02:19 AM,04:19,lptop,Movie,3,6.8,0
98a04604-0a60-47ce-a172-13fdfaf91778,2025-08-04,Friday,10:20 PM,23:20,Mobile,Series,2,7.3,0
f6fb857a-973e-4d5e-bf95-6a7363dbb898,2025-06-14,tuesday,08:20 PM,21:20,,Movie,2,6.3,0
9313fe03-3a7c-4110-860d-615770c8acfa,2025-04-18,Friday,19:33,20:33,Mobile,Documentary,6,5.2,1
2c7e0241-8548-4936-b29d-c8056213a893,2025-05-03,Wednesday,19:19,11:19 PM,lptop,Series,3,5.5,0
c72d772e-aa58-454f-82da-0b3e21c4283d,2025-04-11,Monday,07:57 PM,21:57,Tablet,Documentary,5,7.8,1
93316a54-63c4-4ff1-9b6e-31f56a595a36,,Tuesday,19:09,20:09,TV,Series,6,,1
34c392ad-2c7c-4f57-93fc-bbca4112249c,2025-03-24,tuesday,02:57 AM,03:57 AM,Mobile,Movie,1,6.7,0
e24232e3-efbe-41cb-baea-1aedabc8f4f6,2025-04-11,Wednesday,20:55,09:55 PM,Mobile,Movie,3,4.8,0
0d179f39-e101-40a9-bf31-3399d7e0a606,2025-05-23,tuesday,23:10,01:10,Laptop,Movie,2,4.9,0
e6964ae9-f91f-43ff-af47-cf439e5fd9d2,2025-05-23,monday,05:18 AM,08:18,lptop,Movie,4,7.4,1
872c611e-6c11-42bd-987a-3d1549cd6e5a,,monday,08:18 PM,00:18,lptop,Documentary,6,5.8,1
68804096-4833-46a2-ba34-dfad65d66ba7,2025-07-15,tuesday,19:29,20:29,,Series,5,4.5,1
7497e9bb-d1ed-44b0-90e2-5ddbf5b3c62b,2025-05-03,Monday,23:44,03:44 AM,TV,Series,5,7.7,1
30cd908e-5364-4aaa-bdec-608afc60e7f4,2025-04-20,Sunday,11:03 PM,01:03 AM,moblie,Series,6,4.7,1
355601d3-bb18-4fe0-b638-e3f62656047d,2025-07-17,monday,23:49,02:49,,Series,3,6.3,0
c58142ad-44c3-4e11-8cc2-8e7c5e06027f,,Thursday,07:12 PM,09:12 PM,Laptop,Series,2,6.3,0
69cd8b21-f7bf-4cda-9369-67fa3350f269,2025-02-21,Saturday,22:08,01:08 AM,Mobile,Documentary,4,4.5,1
f803e33c-0c32-4a7e-8b72-debeeda7b728,2025-06-29,Friday,21:17,01:17 AM,Laptop,Documentary,6,6.7,1
b210e648-f95f-4710-8a91-ffbce5e4826f,2025-05-15,Friday,09:58 PM,01:58,,Documentary,6,6.6,1
ea7cd4ec-1a5f-4940-b890-d3309c4bc8b8,2025-05-01,Wednesday,2:58,04:58,moblie,Series,1,5.8,0
8ce5f81f-647d-4dee-aad0-c84525dfc102,2025-03-28,wednesday,21:22,00:22,TV,Series,5,4.5,1
51b2c0c3-f2f1-47d4-b598-08e7886f0c2c,,wednesday,06:28 PM,19:28,Tablet,Movie,1,7.9,0
3956d414-e4dd-4b23-b248-a0c791044c8e,2025-06-18,Wednesday,08:00 PM,00:00,TV,Movie,6,7.9,1
bbde4498-1703-4e8c-8399-c5be71906ce5,2025-06-04,tuesday,09:27 PM,01:27,moblie,Documentary,1,5.6,0
1aeaedf4-216b-42ac-b7d3-213e5c78245f,2025-04-30,wednesday,19:34,09:34 PM,Mobile,Series,4,4.4,1
e7c15283-36bf-4117-96f8-0cecf33cfc31,2025-02-25,Friday,23:30,01:30 AM,Mobile,Documentary,3,4.1,0
4d74fdeb-da89-436e-9d41-1a7ef2a19175,2025-03-07,Monday,07:52 PM,08:52 PM,Tablet,Movie,2,5.2,0
d97e40f2-8c54-43c1-9b1e-8b213ccd6d75,2025-04-12,Saturday,23:13,03:13 AM,,Series,4,5.0,1
5daef144-f3e7-438e-bf81-2527e84ac356,2025-04-20,wednesday,5:14,09:14,TV,Series,5,7.9,1
163a4212-564a-4a9b-95b1-991003d7ad0c,2025-04-14,Tuesday,21:12,01:12,,Movie,5,7.0,1
6ef5c4e1-f004-449f-83db-0511ad475cbd,2025-06-18,Tuesday,06:12 PM,07:12 PM,Laptop,Series,1,4.2,0
cf4fb0d4-bddb-46b4-8d83-1ec2217ae61f,2025-07-17,Wednesday,09:56 PM,00:56,TV,Series,3,5.9,0
a870bc5a-40a5-4622-9cb4-8d2ce901682e,2025-03-24,Monday,06:18 PM,10:18 PM,moblie,Movie,1,7.9,0
81bf0878-6523-4fce-85e8-5263b35dcbc4,2025-04-10,Saturday,07:53 PM,10:53 PM,,Series,6,,1
871dae89-a2e6-488f-ad53-550b42da00bb,2025-05-08,Monday,19:14,23:14,lptop,Movie,6,4.8,1
e9904468-6253-431e-8ad7-c73feb92b0a6,2025-06-17,Sunday,11:07 PM,02:07 AM,TV,Documentary,6,5.1,1
51b06565-acb5-4d0e-a653-5ce95582e55e,2025-05-13,tuesday,18:11,08:11 PM,lptop,Documentary,2,6.9,0
c4ffe215-860d-42e9-bc48-43f080bc572e,2025-02-20,Saturday,22:42,11:42 PM,Mobile,Movie,5,5.8,1
8e0a74a6-d16b-4759-8296-abc1b53e7b3b,2025-06-22,Wednesday,09:33 PM,10:33 PM,moblie,Movie,3,5.5,0
54b2d114-1e1e-4815-94cf-1669f2f7d1da,2025-03-07,Friday,1:49,05:49,,Series,4,5.9,1
1a6d2c7b-4058-492a-9c3c-d917d2d91942,2025-05-02,tuesday,11:54 PM,00:54,Tablet,Documentary,6,6.7,1
fc740f1f-4887-437e-b9e8-3557e3d282a5,2025-03-26,Monday,08:42 PM,11:42 PM,Tablet,Series,14,3.3,1
0585c395-a966-4d38-b051-40662dd25cf3,2025-04-10,wednesday,19:32,23:32,Tablet,Documentary,1,7.0,0
7f4d988b-3ce6-4bc8-9005-d8399541a9b6,2025-06-15,Friday,07:53 PM,10:53 PM,Mobile,Documentary,5,7.8,1
13ece2ad-067f-40ec-8e3c-46f46bf4ff6c,2025-04-11,Sunday,4:06,06:06 AM,lptop,Series,6,7.4,1
a3bb814c-2dc0-4561-88f5-015ecfef955c,2025-05-14,Sunday,07:28 PM,20:28,Laptop,Documentary,3,5.5,0
347f9b0a-c7fa-4237-b432-0f073d96e405,2025-03-25,Wednesday,19:09,08:09 PM,moblie,Documentary,3,7.7,0
82c0d181-707b-4090-a53d-b35992dd6a9f,2025-04-05,Saturday,11:27 PM,02:27,lptop,Series,3,7.1,0
4b8207a3-2647-4b43-9713-9de13607023d,2025-06-02,wednesday,07:13 PM,20:13,Mobile,Movie,2,4.1,0
d4fcf523-4371-43aa-83d2-900dc6347232,2025-05-29,wednesday,2:43,03:43,Laptop,Documentary,3,7.4,0
91b6c10d-ffb0-4e58-9ffa-080ce7bb8d01,2025-03-10,Sunday,11:13 PM,02:13 AM,Laptop,Documentary,4,6.5,1
56e1f8d8-86fd-4759-b0eb-cf96daf66f31,2025-05-04,Wednesday,07:16 PM,23:16,,Movie,4,6.5,1
0ffdfc17-a802-4971-82d3-a638e493da0f,2025-02-26,Friday,18:08,07:08 PM,moblie,Series,5,4.4,1
477d53bf-05a0-433a-a8e7-0c018dcaecdd,2025-04-14,Thursday,18:56,10:56 PM,moblie,Movie,1,4.8,0
f2023400-3c04-452f-a810-69e1b4226d4f,2025-05-06,Monday,21:23,00:23,,Documentary,6,5.6,1
052707bc-922a-4504-8f6a-4df552a7fa25,2025-03-05,Thursday,02:22 AM,06:22,Tablet,Documentary,3,5.6,0
a1214f64-e530-4a83-9ac9-933fd1dc8723,2025-02-05,Thursday,22:33,11:33 PM,lptop,Documentary,4,6.8,1
32b5a9ff-405d-4453-9ab6-8e9193794398,2025-06-23,tuesday,18:29,07:29 PM,Mobile,Documentary,1,6.2,0
02a609f0-38c3-43f4-9250-8942d7ef0f70,2025-05-01,Friday,18:35,19:35,moblie,Series,1,5.5,0
45eed7fe-537d-491b-af56-6cf302f252f7,2025-07-03,Monday,21:15,10:15 PM,lptop,Movie,2,6.0,0
08f4a837-c479-4900-9f16-2b838d818369,2025-02-18,Wednesday,06:49 PM,19:49,moblie,Documentary,2,6.0,0
